group,order,fam_,Species,L-W group,Female length at maturity (mm),length at hatching (mm),mass at hatch (g),Size at maturity (g),mo/M,Clutch size,Clutches/yr,Female age at maturity,,adult lifespan,Adult survival rate,Adult instantaneous mortality rate per year,juvenile survival to adulthood,,lifetime fecundity,annual juvenile survival,reproductive mode,Notes
Reptile,Squamate,Colubridae,Thamnophis sirtalis,Colubridae,504,154,2.341813021,46.46489412,0.05039962,16.4,0.5,2,19.20286677,2,0.5,0.69,0.122,16.4,11.83009934,0.35,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Vipera aspis,Viperidae,463,200,8.794975591,81.68033893,0.120595608,7,0.5,4.5,30.78241457,4,0.75,0.29,0.143,14,12.16620824,0.65,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Vipera aspis,Viperidae,463,200,8.794975591,81.68033893,0.120595608,7,0.3,5,18.46944874,5,0.8,0.22,0.19,10.5,9.410982247,0.72,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Vipera aspis,Viperidae,400,200,8.794975591,55.39483549,0.174342958,7,0.3,5.5,18.46944874,4.545454545,0.78,0.25,0.251,9.545454545,8.452018479,0.78,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Vipera berus,Viperidae,450,144.5,3.710642667,75.73196475,0.057117796,7.9,0.5,3,14.65703853,4.347826087,0.77,0.26,0.116,17.17391304,15.11297827,0.49,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Vipera berus,Viperidae,450,195,8.223219694,75.73196475,0.121560278,7.5,0.5,3,30.83707385,4.347826087,0.77,0.26,0.123,16.30434783,14.34776418,0.5,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Cheloniidae,Caretta caretta,,651,43,16.03888226,33941.51451,0.000472545,120,1.5,20,2886.998807,5.263157895,0.81,0.21,0.002,947.3684211,854.2099423,0.73,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Chelidae,Chelodina longicollis,,170,29.8,5.706915255,771.729411,0.007394969,2,1.5,10,17.12074577,50,0.98,0.02,0.001,150,148.4949494,0.52,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Cheloniidae,Chelonia mydas,,692,51,25.94136041,40316.14194,0.000643448,110,1.3,25,3709.614539,2.564102564,0.61,0.49,0.005,366.6666667,289.3001499,0.81,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Emydidae,Chrysemys picta,,107,26.9,4.276632346,209.3454262,0.020428592,13,2.5,9,138.9905512,25,0.96,0.04,0.002,812.5,796.1394435,0.51,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Emydidae,Chrysemys picta,,107,26.9,4.276632346,209.3454262,0.020428592,13,2.5,7,138.9905512,12.5,0.92,0.08,0.005,406.25,389.774201,0.47,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Emydidae,Chrysemys picta,,107,26.9,4.276632346,209.3454262,0.020428592,11.5,2,8,98.36254396,4.166666667,0.76,0.27,0.021,95.83333333,83.80798847,0.62,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Testudinidae,Geochelone gigantea,,550,70,63.32078177,21105.81127,0.003000159,2,9,23,1139.774072,33.33333333,0.97,0.03,0.003,600,590.9543119,0.78,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Testudinidae,Gopherus agassizii,,189,42,15.00985482,1040.229954,0.014429362,5.5,1.5,16,123.8313023,16.66666667,0.94,0.06,0.015,137.5,133.3324634,0.77,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Testudinidae,Gopherus polyphemus,,229,42,15.00985482,1786.801797,0.008400403,6.5,1,11,97.56405633,10,0.9,0.11,0.031,65,61.69294028,0.73,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Kinosternidae,Kinosternon flavescens,,102.5,21,2.128501516,185.4726359,0.011476095,5,2,11,21.28501516,20,0.95,0.05,0.01,200,194.9572575,0.66,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Kinosternidae,Kinosternon sonoriense,,93,24,3.100953619,141.0083856,0.021991271,3.5,2,7,21.70667533,16.66666667,0.94,0.06,0.017,116.6666667,113.130575,0.56,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Kinosternidae,Kinosternon sonoriense,,93,24,3.100953619,141.0083856,0.021991271,3.5,2,7,21.70667533,7.142857143,0.86,0.15,0.04,50,46.41205332,0.63,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Kinosternidae,Kinosternon sonoriense,,93,24,3.100953619,141.0083856,0.021991271,3.5,2,7,21.70667533,5.882352941,0.83,0.19,0.049,41.17647059,37.56784118,0.65,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Kinosternidae,Kinosternon subrubum,,80,22,2.426649799,92.25025486,0.026305074,3,1,5,7.279949397,8.333333333,0.88,0.13,0.08,25,23.46805036,0.6,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Geoemydidae,Mauremys leprosa,,137.3,32,6.975456428,422.6837631,0.016502778,8.5,2,8,118.5827593,4.761904762,0.79,0.24,0.025,80.95238095,72.11874983,0.63,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Podocnemididae,Podocnemis voglii,,220,38.1,11.40529631,1595.905259,0.0071466,14,3,10,479.022445,12.5,0.92,0.08,0.004,525,503.7081982,0.57,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Kinosternidae,Sternotherus odoratus,,75,21,2.128501516,76.90996816,0.027675236,3.5,3,5,22.34926592,6.25,0.84,0.17,0.03,65.625,60.22251802,0.5,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Emydidae,Terrapene ornata,,195,30,5.815508397,1135.997894,0.005119295,5,1,9,29.07754199,11.11111111,0.91,0.09,0.036,55.55555556,53.01626526,0.69,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Emydidae,Terrapene ornata,,118,30,5.815508397,275.8185607,0.021084543,5,1,11,29.07754199,5.882352941,0.83,0.19,0.068,29.41176471,26.83417227,0.78,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Testudinidae,Testudo graeca,,141.4,32.5,7.286975386,459.2259563,0.015867952,11.5,2.5,12,209.5005423,8.333333333,0.88,0.13,0.008,239.5833333,224.9021493,0.67,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Emydidae,Trachemys scripta,,172.5,34,8.274991942,804.1400146,0.010290486,11.5,2.5,8,237.9060183,5.263157895,0.81,0.21,0.013,151.3157895,136.4363102,0.58,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Mammal,Carnivora,Mustelidae,Taxidea taxus,,,,3000,4100,0.731707317,2.8,0.47,1.624657534,3948,2.124973146,,0.636,0.308,,2.06918239,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 1995
Mammal,Carnivora,Felidae,Lynx rufus,,,,1190,7100,0.167605634,2.64,0.82,1.260273973,2576.112,2.154229742,,0.624,0.213,,3.469230769,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 1996
Mammal,Artiodactyla,Suidae,Phacochoerus aethiopicus,,,,,54000,,2.79,0.72,2.126027397,,3.504137933,,0.336,0.153,,5.978571429,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 1997
Mammal,Primate,Hominidae,Pan troglodytes,,,,8500,34300,0.247813411,1.05,0.19,11.80821918,1695.75,14.39488837,,0.072,0.384,,2.770833333,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 1998
Mammal,Rodentia,Sciuridae,Spermophilus lateralis,,,,65.7,156,0.421153846,5.15,0.82,1.432876712,277.4511,2.216369215,,0.6,0.156,,7.038333333,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 1999
Mammal,Proboscidea,Elephantidae,Loxodonta africana,,,,600000,2770000,0.216606498,1.06,0.14,14.95890411,89040,17.17166637,,0.06,0.465,,2.473333333,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2000
Mammal,Carnivora,Phocidae,Mirounga leonina,,,,118000,558000,0.211469534,1,0.86,5.205479452,101480,4.489231775,,0.252,0.376,,3.412698413,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2001
Mammal,Carnivora,Mustelidae,Lutra canadensis,,,,1510,4600,0.32826087,2.52,0.82,3.232876712,3120.264,4.309853275,,0.264,0.166,,7.827272727,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2002
Mammal,Rodentia,Sciuridae,Tamiasciurus hudsonicus,,,,60,200,0.3,3.87,0.82,1.131506849,190.404,2.018548735,,0.684,0.291,,4.639473684,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2003
Mammal,Rodentia,Sciuridae,Marmota flaviventris,,,,,2510,,4.15,0.82,3.01369863,,3.058166597,,0.396,0.161,,8.593434343,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2004
Mammal,Artiodactyla,Cervidae,Alces alces,,,,94000,408000,0.230392157,1.17,0.81,2.457534247,89083.8,4.146159258,,0.276,0.403,,3.433695652,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2005
Mammal,Artiodactyla,Suidae,Sus scrofa,,,,20000,54800,0.364963504,5.28,0.82,1.882191781,86592,2.357362278,,0.552,0.184,,7.843478261,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2006
Mammal,Rodentia,Dipodidae,Zapus princeps,,,,,25.5,,4.46,0.7,1.309589041,,2.154229742,,0.624,0.301,,5.003205128,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2007
Mammal,Perissodactyla,Equidae,Equus caballus,,,,,410000,,1,0.49,4,,8.843330934,,0.12,0.394,,4.083333333,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2008
Mammal,Carnivora,Felidae,Felis catus,,,,1050,2620,0.400763359,4.4,1.6,1,7392,1.7759537,,0.828,0.193,,8.502415459,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2009
Mammal,Carnivora,Otariidae,Callorhinus ursinus,,,,12900,42400,0.304245283,1,0.78,4.657534247,10062,8.843330934,,0.12,0.26,,6.5,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2010
Mammal,Carnivora,Phocidae,Halichoerus grypus,,,,46500,182000,0.255494505,1,0.85,4.95890411,39525,7.456440299,,0.144,0.29,,5.902777778,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2011
Mammal,Carnivora,Ursidae,Ailuropoda melanokuca,,,,10000,120000,0.083333333,1.56,0.7,3.205479452,10920,4.686647493,,0.24,0.394,,4.55,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2012
Mammal,Rodentia,Sciuridae,Spermophilus beldingi,,,,77.1,257,0.3,5,0.82,1,316.11,2.096835702,,0.648,0.284,,6.327160494,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2013
Mammal,Artiodactyla,Bovidae,Rupicapra rupicapra,,,,,26100,,1,0.88,2.309589041,,3.402504853,,0.348,0.754,,2.528735632,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2014
Mammal,Primate,Cercopithecidae,Macaca sinica,,,,,3590,,1,0.69,4.739726027,,17.17166637,,0.06,0.168,,11.5,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2015
Mammal,Rodentia,Sciuridae,Spermophilus arniatus,,,,74.5,266,0.280075188,4.99,0.89,1,330.86195,2.069756312,,0.66,0.288,,6.728939394,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2016
Mammal,Carnivora,Phocidae,Phoca hispida,,,,10400,69700,0.149210904,1,0.8,4.191780822,8320,10.92466544,,0.096,0.234,,8.333333333,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2017
Mammal,Rodentia,Cricetidae,Clethrionomys glareolus,,,,7.8,17.3,0.450867052,4.86,3.39,0.15890411,128.50812,1.038775874,,3.288,0.39,,5.010766423,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2018
Mammal,Rodentia,Muridae,Apodemus flavicollis,,,,8.7,26.7,0.325842697,5.96,2.88,0.243835616,149.33376,1.027071092,,3.636,0.415,,4.720792079,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2019
Mammal,Rodentia,Sciuridae,Tamias striatus,,,,28.6,95.4,0.299790356,4.14,1.75,0.610958904,207.207,1.36450835,,1.32,0.359,,5.488636364,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2020
Mammal,Lagomorpha,Ochotonidae,Ochotona princeps,,,,50,140,0.357142857,2.73,2,0.830136986,273,2.319802342,,0.564,0.21,,9.680851064,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2021
Mammal,Rodentia,Cricetidae,Peromyscus maniculatus,,,,7,18,0.388888889,4.28,4.67,0.191780822,139.9132,1.023070711,,3.792,0.407,,5.270991561,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2022
Mammal,Artiodactyla,Cervidae,Cervus elaphus,,,,37300,109000,0.342201835,1,0.82,2.821917808,30586,4.904948471,,0.228,0.602,,3.596491228,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2023
Mammal,Carnivora,Canidae,Canis lupus,,,,5250,27000,0.194444444,6.8,0.82,1,29274,2.357362278,,0.552,0.219,,10.10144928,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2024
Mammal,Artiodactyla,Hippopotamidae,Hippopotamus amphibius,,,,225000,1360000,0.165441176,1,0.33,5.506849315,74250,17.17166637,,0.06,0.411,,5.5,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2025
Mammal,Eulipotyphla,Talpidae,Talpa europaea,,,,,85,,4.1,0.82,1,,1.926582322,,0.732,0.494,,4.592896175,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2026
Mammal,Artiodactyla,Bovidae,Ovis dalli,,,,,60000,,1,0.75,2.767123288,,6.070547462,,0.18,0.587,,4.166666667,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2027
Mammal,Carnivora,Mephitidae,Mephitis mephitis,,,,767,2000,0.3835,6.16,0.82,1,3874.2704,1.926582322,,0.732,0.361,,6.900546448,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2028
Mammal,Rodentia,Sciuridae,Sciurus carolinensis,,,,130,568,0.228873239,2.85,1.67,0.838356164,618.735,2.249400219,,0.588,0.316,,8.094387755,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2029
Mammal,Artiodactyla,Bovidae,Aepyceros metampus,,,,15900,44400,0.358108108,1,0.9,2.008219178,14310,4.686647493,,0.24,0.753,,3.75,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2030
Mammal,Artiodactyla,Bovidae,Kobus ellipsiprymnus,,,,,188000,,1,1.11,1.791780822,,6.070547462,,0.18,0.488,,6.166666667,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2031
Mammal,Rodentia,Spalacidae,Tachyoryctes splendens,,,,,195,,1.5,2.11,0.435616438,,2.396634659,,0.54,0.523,,5.861111111,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2032
Mammal,Perissodactyla,Equidae,Equus burchelli,,,,144000,268000,0.537313433,1,0.58,2.98630137,83520,8.843330934,,0.12,0.673,,4.833333333,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2033
Mammal,Rodentia,Echimyidae,Myocaster coypus,,,,1100,5300,0.20754717,4.54,2.76,0.704109589,13783.44,1.632693791,,0.948,0.273,,13.21772152,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2034
Mammal,Carnivora,Mustelidae,Mustela putorius,,,,,646,,5.88,0.82,1,,3.402504853,,0.348,0.261,,13.85517241,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2035
Mammal,Artiodactyla,Cervidae,Rangifer tarandus,,,,33800,93600,0.361111111,1,0.82,3.315068493,27716,6.923251141,,0.156,0.663,,6.307692308,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2036
Mammal,Lagomorpha,Leporidae,Sylvilagus floridanus,,,,125,1270,0.098425197,3.86,4.58,0.353424658,2209.85,1.274275495,,1.536,0.425,,11.50963542,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2037
Mammal,Lagomorpha,Leporidae,Lepus europaeus,,,,580,3730,0.155495979,2.46,3.99,0.665753425,5692.932,1.994318677,,0.696,0.423,,14.10258621,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2038
Mammal,Carnivora,Canidae,Alopex lagopus,,,,,3000,,11.3,0.83,0.898630137,,2.069756312,,0.66,0.429,,14.21060606,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2039
Mammal,Rodentia,Dipodidae,Zapus hudsonius,,,,7.8,18.5,0.421621622,5.4,0.82,1,34.5384,,,,0.11,,,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2040
Mammal,Rodentia,Sciuridae,Spermophilus dauricus,,,,,200,,,0.82,1,,2.154229742,,0.624,0.328,,,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2041
Mammal,Artiodactyla,Cervidae,Capreolus capreolus,,,,,23000,,2.17,,2.008219178,,3.504137933,,0.336,0.389,,,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2042
Mammal,Artiodactyla,Bovidae,Hemitragus jemlahicus,,,,,35200,,1.04,,2.643835616,,4.904948471,,0.228,0.442,,,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2043
Mammal,Artiodactyla,Moschidae,Moschus berezovskii,,,,,10900,,1.41,,3.01369863,,6.466374371,,0.168,0.488,,,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2044
Mammal,Rodentia,Cricetidae,Peromyscus leucopus,,,,11.3,24,0.470833333,4.89,,0.17260274,,1.005118496,,5.28,,,,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2045
Mammal,Lagomorpha,Leporidae,Oryctolagus cuniculus,,,,208,1550,0.134193548,4.74,5.09,0.479452055,5018.3328,1.034668675,,3.396,,,7.104416961,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2046
Mammal,Chiroptera,Rhinolophidae,Rhinolophus ferrumequinum,,,,,22.9,,1,0.82,3.01369863,,4.686647493,,0.24,,,3.416666667,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2047
Mammal,Chiroptera,Vespertilionidae,Eptesicus fuscus,,,,12,22.7,0.528634361,1.64,0.82,1,16.1376,3.99618911,,0.288,,,4.669444444,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2048
Mammal,Chiroptera,Vespertilionidae,Pipistrellus suhflavus,,,,,6.9,,2,0.82,2,,2.357362278,,0.552,,,2.971014493,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2049
Mammal,Chiroptera,Vespertilionidae,Pipistrellus pipistrellus,,,,3.7,6,0.616666667,1.26,0.82,2,3.82284,2.730851412,,0.456,,,2.265789474,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2050
Mammal,Eulipotyphla,Erinaceidae,Erinaceus europaeus,,,,139,771,0.180285344,4.47,1.73,1,1074.9009,3.058166597,,0.396,,,19.5280303,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2051
Mammal,Carnivora,Ursidae,Ursus americanus,,,,23600,87200,0.270642202,2.3,0.42,5.01369863,22797.6,6.070547462,,0.18,,,5.366666667,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2052
Mammal,Carnivora,Canidae,Urocyon cinereoargenteus,,,,481,3300,0.145757576,4.42,0.95,1.076712329,2019.719,3.402504853,,0.348,,,12.06609195,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2053
Mammal,Carnivora,Canidae,Vulpes vulpes,,,,2040,3650,0.55890411,4.85,0.82,1,8113.08,2.357362278,,0.552,,,7.204710145,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2054
Mammal,Artiodactyla,Bovidae,Kobus kob,,,,31600,59200,0.533783784,1,1.3,1.756164384,41080,3.136088299,,0.384,,,3.385416667,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2055
Mammal,Artiodactyla,Bovidae,Damaliscus lunatus,,,,,128000,,1,0.57,2.460273973,,2.043678241,,0.672,,,0.848214286,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2056
Mammal,Artiodactyla,Bovidae,Syncerus caffer,,,,166000,547000,0.303473492,1,0.4,4.931506849,66400,5.724323512,,0.192,,,2.083333333,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2057
Mammal,Artiodactyla,Cervidae,Odocoileus hemionus,,,,16100,56300,0.285968028,1.58,0.94,1.854794521,23911.72,3.858295914,,0.3,,,4.950666667,,,Juvenile survival calculated directly from lifetable. Life table data from Purvis and Harvey 2058
Fish,Clupeiformes,Clupeidae,Clupea harengus,,,,0.001063,29.5,3.60E-05,10755,1,2,11.432565,4.094731473,,0.28,1.30E-05,,1.54E+05,,,"Tsoukali 2016, mass at hatch from fishbase"
Fish,Clupeiformes,Clupeidae,Clupea harengus,,,,0.001063,128,8.30E-06,43986,1,2,46.757118,3.033244782,,0.4,3.80E-06,,5.26E+05,,,"Tsoukali 2016, mass at hatch from fishbase"
Fish,Clupeiformes,Clupeidae,Clupea harengus,,,,0.001063,192.3,5.53E-06,35995,1,4,38.262685,7.179161982,,0.15,2.50E-06,,8.00E+05,,,"Tsoukali 2016, mass at hatch from fishbase"
Fish,Clupeiformes,Clupeidae,Clupea harengus,,,,0.001063,174.3,6.10E-06,50871,1,3,54.075873,10.50833194,,0.1,1.70E-06,,1.18E+06,,,"Tsoukali 2016, mass at hatch from fishbase"
Fish,Clupeiformes,Engraulidae,Engraulis encrasicolus,,,,0.000108,11.2,9.64E-06,86444,1,1,9.335952,1.431012761,,1.2,1.00E-05,,2.00E+05,,,"Tsoukali 2016, mass at hatch from fishbase"
Fish,Clupeiformes,Engraulidae,Engraulis encrasicolus,,,,0.000108,14.8,7.30E-06,116957,1,1,12.631356,1.498960659,,1.1,7.50E-06,,2.67E+05,,,"Tsoukali 2016, mass at hatch from fishbase"
Fish,Clupeiformes,Engraulidae,Engraulis encrasicolus,,,,0.000108,19,5.68E-06,155868,1,1,16.833744,2.861304786,,0.43,5.10E-06,,3.92E+05,,,"Tsoukali 2016, mass at hatch from fishbase"
Fish,Gadiformes,Gadidae,Gadus morhua,,,,0.00057361,168,3.41E-06,214558,1,2,123.0726144,5.516655566,,0.2,4.40E-07,,4.55E+06,,,"Tsoukali 2016, mass at hatch from fishbase"
Fish,Gadiformes,Gadidae,Gadus morhua,,,,0.00057361,2276.3,2.52E-07,530622,1,5,304.3700854,5.516655566,,0.2,4.70E-08,,4.26E+07,,,"Tsoukali 2016, mass at hatch from fishbase"
Fish,Gadiformes,Gadidae,Gadus morhua,,,,0.00057361,1732.5,3.31E-07,506879,1,4,290.7508632,5.516655566,,0.2,2.10E-07,,9.52E+06,,,"Tsoukali 2016, mass at hatch from fishbase"
Fish,Gadiformes,Gadidae,Gadus morhua,,,,0.00057361,1181.5,4.85E-07,630355,1,5,361.5779316,5.063773107,,0.22,1.10E-07,,1.82E+07,,,"Tsoukali 2016, mass at hatch from fishbase"
